@relation 179211L2_2

@attribute status_pozyczki {splacona_cz,splacona,windykacja_sp,odmowa,windykacja}
@attribute kwota_kredytu real
@attribute wiek real
@attribute plec {kobieta,mezczyzna}
@attribute rodzaj_zrodla_dochodu {13,11,16,12,98,99,17,15}
@attribute miesieczny_dochod_netto real
@attribute ktore_rolowanie real
@attribute okres_w_jakim_pobieral_dochod real
@attribute okres_w_jakim_bedzie_pobieral_dochod real
@attribute opoznienie_splaty real

@data
splacona_cz,537.15,62,kobieta,13,962,2,67.45995893,48,3
splacona_cz,242.28,65,kobieta,13,1350,5,113.2956879,48,0
splacona_cz,300,70,kobieta,13,729.03,0,259.4599589,48,0
splacona_cz,500,47,mezczyzna,13,864.34,1,158.4599589,48,2
splacona_cz,200,69,kobieta,16,959.6,6,117.4599589,48,0
odmowa,300,45,mezczyzna,12,1037.34,0,127.3613963,48,0
splacona,401.3,47,mezczyzna,12,1574.45,0,33.45995893,35.88706366,10
splacona,600,49,kobieta,11,2800,6,320.6057495,48,10
splacona_cz,400,56,mezczyzna,11,1842.86,5,9.671457906,48,3
splacona_cz,879.43,35,mezczyzna,12,1500,3,35.3613963,35.88706366,14
splacona,326.78,40,mezczyzna,11,1261.98,6,38.45995893,48,10
windykacja,700,48,kobieta,98,1357,0,3.459958932,48,470
splacona_cz,200,20,mezczyzna,17,985,7,15.45995893,17.72279261,3
splacona_cz,300,57,kobieta,13,611,5,141.1971253,48,0
splacona_cz,500,75,kobieta,13,1248,0,252.4928131,48,0
splacona_cz,500,60,kobieta,13,1000,6,70.03285421,48,0
splacona_cz,300,50,mezczyzna,12,1000,4,45.19712526,62.3613963,0
splacona_cz,202.28,60,mezczyzna,11,3000,7,214.4928131,48,0
splacona_cz,292.28,78,kobieta,13,1239.98,4,257.4928131,48,0
splacona_cz,400,54,mezczyzna,11,1300,0,36.49281314,48,4
splacona_cz,423.23,31,mezczyzna,11,2700,6,17.42710472,48,14
splacona_cz,600,43,kobieta,11,1443,1,35.50718686,48,1
splacona_cz,400,54,kobieta,12,1700,7,56.96714579,48,0
splacona_cz,200,57,mezczyzna,11,1800,0,162.6386037,48,0
splacona_cz,204.78,29,mezczyzna,11,1888.27,1,79.42710472,48,8
odmowa,500,58,mezczyzna,13,740,0,253.5256674,48,0
splacona_cz,200,75,kobieta,13,616,6,248.5256674,48,1
splacona_cz,600,45,mezczyzna,12,3500,1,188.7371663,48,2
odmowa,500,61,kobieta,13,955,0,3.59137577,48,0
splacona_cz,600,61,kobieta,13,1050,7,141.5913758,48,0
splacona_cz,200,71,kobieta,13,722.05,6,199.5913758,48,1
odmowa,900,26,kobieta,11,1440,0,24.59137577,48,0
splacona_cz,800,57,mezczyzna,12,2500,5,6.737166324,10.13141684,1
splacona_cz,600,32,kobieta,11,1290,6,21.59137577,48,6
splacona_cz,360.31,38,kobieta,11,2927,5,203.5913758,48,2
odmowa,200,61,kobieta,13,1440,0,156.62423,48,0
splacona_cz,300,66,kobieta,13,1428.55,0,139.3942505,48,0
splacona_cz,300,29,mezczyzna,11,1590,1,55.59137577,48,7
splacona_cz,700,47,kobieta,12,830.46,5,47.52566735,71.88706366,0
windykacja_sp,563.44,68,mezczyzna,13,2000,1,46.93429158,48,285
splacona_cz,2000,57,mezczyzna,98,20000,0,132.62423,48,12
splacona,300,79,kobieta,13,1442.43,2,143.62423,48,0
splacona_cz,200,72,kobieta,13,785,3,66.62422998,48,0
splacona_cz,200,27,mezczyzna,12,1400,1,3,3.375770021,0
splacona_cz,500,58,mezczyzna,16,1770,7,91.62422998,48,0
splacona_cz,400,72,mezczyzna,13,1870,2,87.62422998,48,2
splacona_cz,400,59,kobieta,12,1320,0,11.62422998,35,2
splacona,300,36,kobieta,11,1228,0,36.06570842,48,4
splacona_cz,500,70,kobieta,13,1200,6,121.3613963,48,7
splacona_cz,200,70,kobieta,13,1200,0,121.3613963,48,7
splacona_cz,400,51,mezczyzna,11,1800,3,261.62423,48,0
splacona_cz,200,26,kobieta,12,1100,3,17.62422998,17.98562628,4
splacona,300,26,kobieta,11,2300,0,24.62422998,48,0
splacona,300,53,mezczyzna,11,1300,0,454.3613963,48,0
splacona_cz,290.88,61,kobieta,13,1090.14,6,77.62422998,48,5
windykacja,830,61,kobieta,13,1977,4,56.90143737,48,465
splacona_cz,500,47,mezczyzna,13,1500,1,88.3613963,48,6
splacona_cz,300,75,kobieta,13,1000,0,213.6570842,48,0
splacona,600,54,kobieta,11,1300,1,70.45995893,48,13
splacona_cz,300,63,kobieta,13,1014,1,185.2628337,48,6
windykacja,200,31,kobieta,12,1032.34,6,6.934291581,11.22997947,464
splacona_cz,437.15,62,kobieta,13,820,1,33.59137577,48,0
splacona,400,21,mezczyzna,99,1500,0,5.657084189,7,0
splacona,600,53,kobieta,11,1700,0,207.6570842,48,0
splacona,200,46,mezczyzna,99,1400,0,18.65708419,19.98562628,0
splacona_cz,345.97,54,kobieta,11,1721.7,7,122.6570842,48,0
splacona_cz,400,49,kobieta,11,1764,0,66.55852156,48,0
splacona_cz,314.15,35,kobieta,11,2709.34,7,183.6899384,48,0
splacona_cz,200,61,kobieta,13,992.96,3,14.22997947,48,0
splacona,350,73,kobieta,11,1348.95,1,116.1971253,48,10
splacona_cz,1000,57,mezczyzna,13,3600,1,88.6899384,48,0
splacona_cz,400,44,mezczyzna,11,3300,0,239,48,2
windykacja_sp,300,52,kobieta,16,685,0,43.65708419,48,298
splacona_cz,300,60,kobieta,13,810,7,35.3613963,48,0
odmowa,1000,45,mezczyzna,11,2700,0,17.6899384,48,0
splacona_cz,300,37,kobieta,12,1382,0,23.6899384,23.98562628,0
odmowa,400,20,mezczyzna,12,1000,0,11.6899384,47.98562628,0
splacona_cz,300,57,kobieta,11,1680,6,387.6899384,48,4
splacona,350,58,kobieta,13,1500,0,48.6899384,48,4
splacona,500,58,kobieta,13,1240,3,72.39425051,48,0
windykacja_sp,300,25,kobieta,11,1600,0,54.52566735,48,243
splacona_cz,300,21,mezczyzna,12,952.89,2,24.83572895,26.13141684,5
splacona_cz,290,61,kobieta,13,1280,7,19.6899384,48,0
splacona_cz,300,65,kobieta,13,1400,0,120.6899384,48,4
splacona,200,65,mezczyzna,13,1611,1,143.6899384,48,0
splacona_cz,297.28,48,kobieta,11,1077.49,1,374,48,2
splacona,450,59,mezczyzna,13,3900,0,116.5913758,48,3
splacona_cz,400,60,kobieta,13,1800,1,71.6899384,48,0
splacona,250,21,mezczyzna,12,1500,1,8.492813142,11.22997947,0
splacona_cz,800,61,kobieta,13,5100,2,30.72279261,48,0
splacona_cz,600,41,kobieta,98,5000,2,86.72279261,48,14
splacona_cz,500,59,kobieta,13,1300,0,32.72279261,48,0
splacona_cz,500,45,kobieta,11,3000,1,95.72279261,48,0
splacona,400,58,kobieta,13,1300,0,36.72279261,48,0
splacona_cz,500,51,kobieta,11,1700,6,308,48,2
splacona_cz,400,66,kobieta,13,850,6,69.49281314,48,2
splacona_cz,392.82,51,mezczyzna,11,1400,1,41.09856263,48,2
splacona_cz,200,61,kobieta,13,984,2,13.13141684,48,2
splacona_cz,200,75,kobieta,13,965,6,247.7227926,48,8
splacona_cz,300,45,mezczyzna,11,2100,2,52.72279261,48,0
splacona_cz,400,75,kobieta,13,1900,3,123.7227926,48,1
splacona_cz,389.72,52,kobieta,98,3000,3,87.72279261,48,1
splacona_cz,200,53,mezczyzna,11,2094.17,3,243.2299795,48,4
splacona_cz,478.6,44,kobieta,11,2245.01,1,147.7371663,48,1
splacona,400,35,mezczyzna,11,1186,0,12.72279261,48,0
splacona_cz,200,61,kobieta,13,744.07,0,14.90143737,48,0
splacona_cz,339.72,68,mezczyzna,13,1162.41,1,106.8542094,48,0
windykacja,300,64,kobieta,16,1132,3,99.85420945,48,458
splacona_cz,830,59,kobieta,13,1400,2,248.8542094,48,0
splacona_cz,500,56,mezczyzna,13,1900,7,152.8542094,48,0
splacona_cz,200,27,mezczyzna,17,728,7,102.8542094,48,1
splacona_cz,330.1,63,kobieta,13,1668,7,93.85420945,48,1
splacona_cz,389.72,35,mezczyzna,11,1058,2,16.75564682,48,0
splacona_cz,500,60,mezczyzna,11,2100,6,189.8542094,48,0
splacona_cz,500,56,mezczyzna,13,1553,0,111.6899384,48,1
splacona,200,57,mezczyzna,13,12220,5,73.85420945,48,0
splacona_cz,500,49,mezczyzna,11,2500,1,376.8542094,48,0
splacona_cz,200,53,kobieta,99,1100,4,54,48,0
splacona_cz,500,49,kobieta,11,1800,7,55.59137577,48,2
splacona,400,23,mezczyzna,98,1200,0,18.85420945,48,11
splacona_cz,515.96,58,kobieta,13,1801.41,2,39.90143737,48,0
splacona_cz,200,70,kobieta,13,865,7,130.164271,48,0
splacona_cz,700,32,kobieta,11,3100,2,123.8542094,48,5
splacona_cz,700,37,kobieta,11,3178.76,2,123.8542094,48,5
splacona_cz,400,59,kobieta,13,1400,0,48.88706366,48,4
splacona,300,30,mezczyzna,12,3400,0,19.13141684,37.83572895,0
splacona_cz,378.91,70,kobieta,13,1291.18,7,81.88706366,48,0
splacona_cz,300,62,mezczyzna,13,2000,0,36.88706366,48,0
splacona_cz,500,36,mezczyzna,11,3898,2,183.4599589,48,3
splacona_cz,600,80,mezczyzna,13,2547,1,197.0657084,48,0
odmowa,300,50,mezczyzna,99,784,0,2.427104723,12,0
splacona_cz,300,22,kobieta,12,1500,6,6.887063655,18,3
splacona_cz,299.23,52,kobieta,11,1400,3,163.8870637,48,0
splacona_cz,500,55,kobieta,12,1600,0,12.88706366,17,4
splacona_cz,500,29,kobieta,12,1447,7,24,35.96714579,3
splacona_cz,349.66,64,mezczyzna,13,1601.87,3,47.91991786,48,3
splacona_cz,300,53,kobieta,16,1740,0,116.5585216,48,0
splacona_cz,206,30,mezczyzna,12,1521,3,22.91991786,30.98562628,0
splacona,300,49,kobieta,11,992.84,7,123.8870637,48,0
splacona_cz,300,79,kobieta,13,1167.94,2,371.9199179,48,0
splacona_cz,200,54,kobieta,11,1400,7,119.2956879,48,2
splacona,300,46,mezczyzna,11,1360,3,122.3942505,48,0
odmowa,300,57,mezczyzna,11,2100,0,32.49281314,48,0
splacona_cz,700,58,kobieta,13,1872,7,37.45995893,48,5
splacona,527.15,73,kobieta,13,951,6,164.9199179,48,58
splacona_cz,773.72,63,kobieta,13,860,1,82.62422998,48,0
splacona_cz,300,74,kobieta,13,1536,2,38.62422998,48,3
splacona_cz,1000,69,kobieta,13,2291,3,73.49281314,48,1
splacona_cz,200,53,kobieta,16,749.28,7,67.95277207,48,1
splacona,387.15,69,kobieta,16,1401,1,77.95277207,48,119
splacona_cz,400,65,mezczyzna,16,1473.04,4,167.9527721,48,1
splacona_cz,200,56,kobieta,98,980,6,12.42710472,48,0
splacona_cz,300,46,kobieta,12,1038.68,3,23.3613963,26.39425051,1
splacona_cz,300,71,mezczyzna,13,1426,7,79.95277207,48,1
splacona_cz,342.86,60,kobieta,13,1087,1,73.95277207,48,4
splacona_cz,200,57,kobieta,99,780,3,3.821355236,4.328542094,1
splacona,750,55,mezczyzna,16,588,0,424.8870637,48,11
splacona_cz,300,61,kobieta,13,1374,0,48.95277207,48,0
splacona_cz,249.3,57,kobieta,16,2100,2,41.29568789,48,1
splacona_cz,500,50,kobieta,17,990,3,74.95277207,48,1
splacona_cz,500,53,mezczyzna,11,2080,1,320.9527721,48,0
splacona_cz,300,46,kobieta,98,911,7,100.9527721,48,1
splacona_cz,472.7,62,kobieta,13,3700,7,29.55852156,48,1
windykacja,200,53,kobieta,12,984.34,6,20.95277207,20.98562628,454
splacona_cz,400,60,mezczyzna,12,1000,7,14.95277207,26.6899384,4
splacona_cz,400,50,kobieta,12,1000,7,34.95277207,34.98562628,4
splacona,1000,36,kobieta,11,1900,1,181.8213552,48,0
splacona_cz,300,63,kobieta,13,1100,4,107.9527721,48,1
splacona_cz,400,58,kobieta,16,1589,0,29.55852156,48,3
splacona_cz,300,65,kobieta,13,802.83,1,203.9527721,48,1
windykacja,1921.84,48,mezczyzna,11,2353,1,101.9527721,48,454
splacona_cz,600,64,kobieta,13,1233,0,126.0328542,48,0
splacona,300,75,mezczyzna,13,1180,0,142.9342916,48,0
splacona_cz,200,71,mezczyzna,13,1642.87,1,72.03285421,48,1
splacona_cz,200,41,kobieta,11,2505,1,166.4414784,48,0
splacona_cz,200,59,kobieta,16,634,6,54,48,0
splacona_cz,215.24,51,mezczyzna,16,1045,6,202.0328542,48,0
splacona_cz,400,61,kobieta,13,1500,3,63.03285421,48,0
splacona_cz,397.15,56,kobieta,16,2300,8,65.08008214,48,2
splacona,200,56,kobieta,16,2300,1,65.08008214,48,2
splacona,497.15,51,mezczyzna,16,2150,1,84.03285421,48,1
splacona_cz,1500,58,mezczyzna,98,3000,0,71.70431211,48,7
splacona_cz,741.52,34,kobieta,11,2200,3,40.03285421,48,0
splacona_cz,200,32,kobieta,12,980,7,13.03285421,15.26283368,9
splacona_cz,600,36,kobieta,11,2400,6,115.8685832,48,8
odmowa,400,35,kobieta,11,1300,0,232.0657084,48,0
splacona_cz,500,63,kobieta,13,1900,1,91.06570842,48,4
odmowa,500,65,kobieta,13,2800,0,120.0657084,48,0
splacona_cz,300,63,kobieta,13,714,0,225.0657084,48,0
splacona_cz,254.98,58,kobieta,16,634.64,6,139.0657084,48,8
splacona_cz,300,56,kobieta,11,2800,2,12.06570842,48,0
splacona_cz,300,57,kobieta,11,1187.06,0,136.0657084,48,0
splacona,500,43,mezczyzna,98,3014,0,105.0657084,48,4
splacona,200,69,kobieta,13,803.86,7,160.1129363,48,0
splacona_cz,1000,42,kobieta,98,6000,3,20.09856263,48,0
splacona_cz,200,63,mezczyzna,13,1162,7,224,48,0
splacona,252.16,60,kobieta,13,1658,7,32.09856263,48,0
splacona,800,66,mezczyzna,13,3040,0,204,48,1
splacona_cz,400,61,kobieta,13,1107,1,17.67145791,48,3
splacona_cz,800,56,kobieta,13,3440,7,54.09856263,48,0
odmowa,300,27,mezczyzna,11,3000,0,43.73716632,48,0
splacona_cz,200,47,kobieta,12,990.34,0,58.60574949,48,0
splacona_cz,391.97,65,kobieta,13,1507,1,62.09856263,48,0
splacona_cz,200,61,kobieta,13,1635,7,122.6714579,48,3
splacona_cz,392.43,45,mezczyzna,12,1963.88,6,9.098562628,20.95277207,0
splacona,250,31,mezczyzna,12,1637,0,55.09856263,48,4
odmowa,200,24,kobieta,12,900,0,6,18,0
splacona_cz,276.26,55,mezczyzna,11,2100,4,40.54004107,48,0
splacona_cz,800,69,kobieta,13,2120,2,121.8028747,48,0
splacona_cz,300,55,kobieta,16,1500,2,4.540041068,48,6
splacona_cz,500,44,kobieta,11,1738.57,0,60.13141684,48,2
splacona,250,60,kobieta,13,1650,1,118.1314168,48,0
splacona_cz,299.72,63,kobieta,13,714,8,225.1314168,48,4
splacona_cz,438.67,51,kobieta,11,1577.42,0,208.1314168,48,2
odmowa,800,43,mezczyzna,98,2500,0,144.1314168,48,0
splacona_cz,500,45,mezczyzna,12,1952.35,0,7.131416838,11.98562628,3
splacona,200,45,mezczyzna,11,2000,0,204,48,0
odmowa,500,72,mezczyzna,13,1700,0,84.13141684,48,0
splacona_cz,400,63,kobieta,16,2084.79,1,144.1314168,48,2
odmowa,1000,56,kobieta,11,2300,0,15.13141684,48,0
splacona,500,28,kobieta,11,2100,0,25.3100616,48,0
splacona_cz,530,63,kobieta,13,1691.3,3,76.26283368,48,1
splacona_cz,400,69,kobieta,13,1017,0,164.2628337,48,0
splacona_cz,600,40,kobieta,11,1800,0,54.44147844,48,9
splacona_cz,278.98,39,kobieta,98,1200,7,48.73716632,48,0
splacona_cz,350,71,kobieta,13,729.03,8,260.2628337,48,1
splacona_cz,300,69,kobieta,13,1027,3,195.2628337,48,0
splacona_cz,974.28,74,kobieta,13,2100,6,58.26283368,48,5
splacona_cz,300,71,kobieta,13,1000,4,67.26283368,48,0
splacona,300,64,mezczyzna,11,1660,0,53.26283368,48,0
odmowa,300,61,mezczyzna,13,988,0,228.2628337,48,0
splacona,300,27,mezczyzna,11,1459,4,12.19712526,48,8
splacona_cz,500,64,kobieta,13,3251,1,141.1314168,48,3
splacona_cz,664.48,64,kobieta,13,930,4,96.83572895,48,2
splacona,460,66,kobieta,13,1013.74,7,116.2628337,48,0
splacona,200,68,kobieta,13,720.19,5,96.26283368,48,2
splacona,500,61,kobieta,13,1212,7,56.90143737,48,0
splacona_cz,200,32,kobieta,12,1865,4,23.03285421,34.72279261,1
splacona_cz,400,71,kobieta,13,1016,0,192.2628337,48,0
odmowa,300,66,kobieta,13,1018,0,132.2628337,48,0
splacona_cz,938.75,63,mezczyzna,13,2474,2,18.13141684,48,0
splacona_cz,400,59,kobieta,11,1500,6,88.26283368,48,2
splacona_cz,600,73,kobieta,13,640,1,141.3429158,48,1
splacona_cz,584.58,66,kobieta,16,892,1,203.8028747,48,0
splacona_cz,1000,58,kobieta,13,1530,1,27.73716632,48,28
windykacja,367.31,62,kobieta,13,1684,6,22.93429158,48,445
splacona_cz,400,61,kobieta,16,1411,4,69.26283368,48,3
splacona,400,57,kobieta,11,1730.13,0,196.2956879,48,12
splacona_cz,900,59,kobieta,17,684,7,192.7371663,48,0
splacona_cz,200,62,kobieta,13,997,7,82.29568789,48,0
splacona_cz,1000,66,kobieta,13,930,1,133.7700205,48,0
splacona_cz,200,62,kobieta,13,975,7,30.29568789,48,8
splacona_cz,315.12,74,mezczyzna,13,960,7,142.8685832,48,1
splacona_cz,200,34,mezczyzna,11,1800,7,168.2956879,48,1
splacona_cz,300,43,kobieta,11,1286.16,0,120.2299795,48,4
splacona_cz,299.23,64,kobieta,16,1389,2,94.29568789,48,1
splacona_cz,500,42,kobieta,11,1870,0,113.2956879,48,0
splacona_cz,700,62,kobieta,13,2066,7,132.2956879,48,1
splacona_cz,265.58,63,kobieta,13,1189,7,72.60574949,48,1
splacona_cz,300,72,mezczyzna,13,562,3,84.29568789,48,1
splacona_cz,996,48,mezczyzna,11,2500,3,206.9014374,48,1
splacona_cz,237.13,55,kobieta,16,1045.6,8,15.29568789,48,1
splacona_cz,200,56,mezczyzna,11,1460.17,4,64.06570842,48,1
