@relation '179211L2_2-weka.filters.unsupervised.attribute.Reorder-R2-10,1'

@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute plec {kobieta,mezczyzna}
@attribute rodzaj_zrodla_dochodu {13,11,16,12,98,99,17,15}
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobieral_dochod numeric
@attribute okres_w_jakim_bedzie_pobieral_dochod numeric
@attribute opoznienie_splaty numeric
@attribute status_pozyczki {splacona_cz,splacona,windykacja_sp,odmowa,windykacja}

@data
300,21,mezczyzna,12,952.89,2,24.835729,26.131417,5,splacona_cz
290,61,kobieta,13,1280,7,19.689938,48,0,splacona_cz
300,65,kobieta,13,1400,0,120.689938,48,4,splacona_cz
200,65,mezczyzna,13,1611,1,143.689938,48,0,splacona
297.28,48,kobieta,11,1077.49,1,374,48,2,splacona_cz
450,59,mezczyzna,13,3900,0,116.591376,48,3,splacona
400,60,kobieta,13,1800,1,71.689938,48,0,splacona_cz
250,21,mezczyzna,12,1500,1,8.492813,11.229979,0,splacona
800,61,kobieta,13,5100,2,30.722793,48,0,splacona_cz
600,41,kobieta,98,5000,2,86.722793,48,14,splacona_cz
500,59,kobieta,13,1300,0,32.722793,48,0,splacona_cz
500,45,kobieta,11,3000,1,95.722793,48,0,splacona_cz
400,58,kobieta,13,1300,0,36.722793,48,0,splacona
500,51,kobieta,11,1700,6,308,48,2,splacona_cz
400,66,kobieta,13,850,6,69.492813,48,2,splacona_cz
392.82,51,mezczyzna,11,1400,1,41.098563,48,2,splacona_cz
200,61,kobieta,13,984,2,13.131417,48,2,splacona_cz
200,75,kobieta,13,965,6,247.722793,48,8,splacona_cz
300,45,mezczyzna,11,2100,2,52.722793,48,0,splacona_cz
400,75,kobieta,13,1900,3,123.722793,48,1,splacona_cz
389.72,52,kobieta,98,3000,3,87.722793,48,1,splacona_cz
200,53,mezczyzna,11,2094.17,3,243.22998,48,4,splacona_cz
478.6,44,kobieta,11,2245.01,1,147.737166,48,1,splacona_cz
400,35,mezczyzna,11,1186,0,12.722793,48,0,splacona
200,61,kobieta,13,744.07,0,14.901437,48,0,splacona_cz
339.72,68,mezczyzna,13,1162.41,1,106.854209,48,0,splacona_cz
300,64,kobieta,16,1132,3,99.854209,48,458,windykacja
830,59,kobieta,13,1400,2,248.854209,48,0,splacona_cz
500,56,mezczyzna,13,1900,7,152.854209,48,0,splacona_cz
200,27,mezczyzna,17,728,7,102.854209,48,1,splacona_cz
330.1,63,kobieta,13,1668,7,93.854209,48,1,splacona_cz
389.72,35,mezczyzna,11,1058,2,16.755647,48,0,splacona_cz
500,60,mezczyzna,11,2100,6,189.854209,48,0,splacona_cz
500,56,mezczyzna,13,1553,0,111.689938,48,1,splacona_cz
200,57,mezczyzna,13,12220,5,73.854209,48,0,splacona
500,49,mezczyzna,11,2500,1,376.854209,48,0,splacona_cz
200,53,kobieta,99,1100,4,54,48,0,splacona_cz
500,49,kobieta,11,1800,7,55.591376,48,2,splacona_cz
400,23,mezczyzna,98,1200,0,18.854209,48,11,splacona
515.96,58,kobieta,13,1801.41,2,39.901437,48,0,splacona_cz
200,70,kobieta,13,865,7,130.164271,48,0,splacona_cz
700,32,kobieta,11,3100,2,123.854209,48,5,splacona_cz
700,37,kobieta,11,3178.76,2,123.854209,48,5,splacona_cz
400,59,kobieta,13,1400,0,48.887064,48,4,splacona_cz
300,30,mezczyzna,12,3400,0,19.131417,37.835729,0,splacona
378.91,70,kobieta,13,1291.18,7,81.887064,48,0,splacona_cz
300,62,mezczyzna,13,2000,0,36.887064,48,0,splacona_cz
500,36,mezczyzna,11,3898,2,183.459959,48,3,splacona_cz
600,80,mezczyzna,13,2547,1,197.065708,48,0,splacona_cz
300,50,mezczyzna,99,784,0,2.427105,12,0,odmowa
300,22,kobieta,12,1500,6,6.887064,18,3,splacona_cz
299.23,52,kobieta,11,1400,3,163.887064,48,0,splacona_cz
500,55,kobieta,12,1600,0,12.887064,17,4,splacona_cz
500,29,kobieta,12,1447,7,24,35.967146,3,splacona_cz
349.66,64,mezczyzna,13,1601.87,3,47.919918,48,3,splacona_cz
300,53,kobieta,16,1740,0,116.558522,48,0,splacona_cz
206,30,mezczyzna,12,1521,3,22.919918,30.985626,0,splacona_cz
300,49,kobieta,11,992.84,7,123.887064,48,0,splacona
300,79,kobieta,13,1167.94,2,371.919918,48,0,splacona_cz
200,54,kobieta,11,1400,7,119.295688,48,2,splacona_cz
300,46,mezczyzna,11,1360,3,122.394251,48,0,splacona
300,57,mezczyzna,11,2100,0,32.492813,48,0,odmowa
700,58,kobieta,13,1872,7,37.459959,48,5,splacona_cz
527.15,73,kobieta,13,951,6,164.919918,48,58,splacona
773.72,63,kobieta,13,860,1,82.62423,48,0,splacona_cz
300,74,kobieta,13,1536,2,38.62423,48,3,splacona_cz
1000,69,kobieta,13,2291,3,73.492813,48,1,splacona_cz
200,53,kobieta,16,749.28,7,67.952772,48,1,splacona_cz
387.15,69,kobieta,16,1401,1,77.952772,48,119,splacona
400,65,mezczyzna,16,1473.04,4,167.952772,48,1,splacona_cz
200,56,kobieta,98,980,6,12.427105,48,0,splacona_cz
300,46,kobieta,12,1038.68,3,23.361396,26.394251,1,splacona_cz
300,71,mezczyzna,13,1426,7,79.952772,48,1,splacona_cz
342.86,60,kobieta,13,1087,1,73.952772,48,4,splacona_cz
200,57,kobieta,99,780,3,3.821355,4.328542,1,splacona_cz
750,55,mezczyzna,16,588,0,424.887064,48,11,splacona
300,61,kobieta,13,1374,0,48.952772,48,0,splacona_cz
249.3,57,kobieta,16,2100,2,41.295688,48,1,splacona_cz
500,50,kobieta,17,990,3,74.952772,48,1,splacona_cz
500,53,mezczyzna,11,2080,1,320.952772,48,0,splacona_cz
300,46,kobieta,98,911,7,100.952772,48,1,splacona_cz
472.7,62,kobieta,13,3700,7,29.558522,48,1,splacona_cz
200,53,kobieta,12,984.34,6,20.952772,20.985626,454,windykacja
400,60,mezczyzna,12,1000,7,14.952772,26.689938,4,splacona_cz
400,50,kobieta,12,1000,7,34.952772,34.985626,4,splacona_cz
1000,36,kobieta,11,1900,1,181.821355,48,0,splacona
300,63,kobieta,13,1100,4,107.952772,48,1,splacona_cz
400,58,kobieta,16,1589,0,29.558522,48,3,splacona_cz
300,65,kobieta,13,802.83,1,203.952772,48,1,splacona_cz
1921.84,48,mezczyzna,11,2353,1,101.952772,48,454,windykacja
600,64,kobieta,13,1233,0,126.032854,48,0,splacona_cz
300,75,mezczyzna,13,1180,0,142.934292,48,0,splacona
200,71,mezczyzna,13,1642.87,1,72.032854,48,1,splacona_cz
200,41,kobieta,11,2505,1,166.441478,48,0,splacona_cz
200,59,kobieta,16,634,6,54,48,0,splacona_cz
215.24,51,mezczyzna,16,1045,6,202.032854,48,0,splacona_cz
400,61,kobieta,13,1500,3,63.032854,48,0,splacona_cz
397.15,56,kobieta,16,2300,8,65.080082,48,2,splacona_cz
200,56,kobieta,16,2300,1,65.080082,48,2,splacona
497.15,51,mezczyzna,16,2150,1,84.032854,48,1,splacona
1500,58,mezczyzna,98,3000,0,71.704312,48,7,splacona_cz
741.52,34,kobieta,11,2200,3,40.032854,48,0,splacona_cz
200,32,kobieta,12,980,7,13.032854,15.262834,9,splacona_cz
600,36,kobieta,11,2400,6,115.868583,48,8,splacona_cz
400,35,kobieta,11,1300,0,232.065708,48,0,odmowa
500,63,kobieta,13,1900,1,91.065708,48,4,splacona_cz
500,65,kobieta,13,2800,0,120.065708,48,0,odmowa
300,63,kobieta,13,714,0,225.065708,48,0,splacona_cz
254.98,58,kobieta,16,634.64,6,139.065708,48,8,splacona_cz
300,56,kobieta,11,2800,2,12.065708,48,0,splacona_cz
300,57,kobieta,11,1187.06,0,136.065708,48,0,splacona_cz
500,43,mezczyzna,98,3014,0,105.065708,48,4,splacona
200,69,kobieta,13,803.86,7,160.112936,48,0,splacona
1000,42,kobieta,98,6000,3,20.098563,48,0,splacona_cz
200,63,mezczyzna,13,1162,7,224,48,0,splacona_cz
252.16,60,kobieta,13,1658,7,32.098563,48,0,splacona
800,66,mezczyzna,13,3040,0,204,48,1,splacona
400,61,kobieta,13,1107,1,17.671458,48,3,splacona_cz
800,56,kobieta,13,3440,7,54.098563,48,0,splacona_cz
300,27,mezczyzna,11,3000,0,43.737166,48,0,odmowa
200,47,kobieta,12,990.34,0,58.605749,48,0,splacona_cz
391.97,65,kobieta,13,1507,1,62.098563,48,0,splacona_cz
200,61,kobieta,13,1635,7,122.671458,48,3,splacona_cz
392.43,45,mezczyzna,12,1963.88,6,9.098563,20.952772,0,splacona_cz
250,31,mezczyzna,12,1637,0,55.098563,48,4,splacona
200,24,kobieta,12,900,0,6,18,0,odmowa
276.26,55,mezczyzna,11,2100,4,40.540041,48,0,splacona_cz
800,69,kobieta,13,2120,2,121.802875,48,0,splacona_cz
300,55,kobieta,16,1500,2,4.540041,48,6,splacona_cz
500,44,kobieta,11,1738.57,0,60.131417,48,2,splacona_cz
250,60,kobieta,13,1650,1,118.131417,48,0,splacona
299.72,63,kobieta,13,714,8,225.131417,48,4,splacona_cz
438.67,51,kobieta,11,1577.42,0,208.131417,48,2,splacona_cz
800,43,mezczyzna,98,2500,0,144.131417,48,0,odmowa
500,45,mezczyzna,12,1952.35,0,7.131417,11.985626,3,splacona_cz
200,45,mezczyzna,11,2000,0,204,48,0,splacona
500,72,mezczyzna,13,1700,0,84.131417,48,0,odmowa
400,63,kobieta,16,2084.79,1,144.131417,48,2,splacona_cz
1000,56,kobieta,11,2300,0,15.131417,48,0,odmowa
500,28,kobieta,11,2100,0,25.310062,48,0,splacona
530,63,kobieta,13,1691.3,3,76.262834,48,1,splacona_cz
400,69,kobieta,13,1017,0,164.262834,48,0,splacona_cz
600,40,kobieta,11,1800,0,54.441478,48,9,splacona_cz
278.98,39,kobieta,98,1200,7,48.737166,48,0,splacona_cz
350,71,kobieta,13,729.03,8,260.262834,48,1,splacona_cz
300,69,kobieta,13,1027,3,195.262834,48,0,splacona_cz
974.28,74,kobieta,13,2100,6,58.262834,48,5,splacona_cz
300,71,kobieta,13,1000,4,67.262834,48,0,splacona_cz
300,64,mezczyzna,11,1660,0,53.262834,48,0,splacona
300,61,mezczyzna,13,988,0,228.262834,48,0,odmowa
300,27,mezczyzna,11,1459,4,12.197125,48,8,splacona
500,64,kobieta,13,3251,1,141.131417,48,3,splacona_cz
664.48,64,kobieta,13,930,4,96.835729,48,2,splacona_cz
460,66,kobieta,13,1013.74,7,116.262834,48,0,splacona
200,68,kobieta,13,720.19,5,96.262834,48,2,splacona
500,61,kobieta,13,1212,7,56.901437,48,0,splacona
200,32,kobieta,12,1865,4,23.032854,34.722793,1,splacona_cz
400,71,kobieta,13,1016,0,192.262834,48,0,splacona_cz
300,66,kobieta,13,1018,0,132.262834,48,0,odmowa
938.75,63,mezczyzna,13,2474,2,18.131417,48,0,splacona_cz
400,59,kobieta,11,1500,6,88.262834,48,2,splacona_cz
600,73,kobieta,13,640,1,141.342916,48,1,splacona_cz
584.58,66,kobieta,16,892,1,203.802875,48,0,splacona_cz
1000,58,kobieta,13,1530,1,27.737166,48,28,splacona_cz
367.31,62,kobieta,13,1684,6,22.934292,48,445,windykacja
400,61,kobieta,16,1411,4,69.262834,48,3,splacona_cz
400,57,kobieta,11,1730.13,0,196.295688,48,12,splacona
900,59,kobieta,17,684,7,192.737166,48,0,splacona_cz
200,62,kobieta,13,997,7,82.295688,48,0,splacona_cz
1000,66,kobieta,13,930,1,133.77002,48,0,splacona_cz
200,62,kobieta,13,975,7,30.295688,48,8,splacona_cz
315.12,74,mezczyzna,13,960,7,142.868583,48,1,splacona_cz
200,34,mezczyzna,11,1800,7,168.295688,48,1,splacona_cz
300,43,kobieta,11,1286.16,0,120.22998,48,4,splacona_cz
299.23,64,kobieta,16,1389,2,94.295688,48,1,splacona_cz
500,42,kobieta,11,1870,0,113.295688,48,0,splacona_cz
700,62,kobieta,13,2066,7,132.295688,48,1,splacona_cz
265.58,63,kobieta,13,1189,7,72.605749,48,1,splacona_cz
300,72,mezczyzna,13,562,3,84.295688,48,1,splacona_cz
996,48,mezczyzna,11,2500,3,206.901437,48,1,splacona_cz
237.13,55,kobieta,16,1045.6,8,15.295688,48,1,splacona_cz
200,56,mezczyzna,11,1460.17,4,64.065708,48,1,splacona_cz
281.84,47,kobieta,12,1032,7,41.295688,52.985626,12,splacona
300,41,kobieta,12,1896,1,16.131417,16.821355,5,splacona_cz
300,40,kobieta,12,1027,7,11.310062,59.967146,4,splacona_cz
200,44,mezczyzna,11,2284.23,2,302.342916,48,1,splacona_cz
325.58,53,kobieta,11,2065.98,0,182.197125,48,5,splacona_cz
286.26,50,mezczyzna,11,1400,0,17.262834,48,203,splacona
497.15,48,mezczyzna,12,600,8,12.164271,27.131417,1,splacona_cz
300,55,kobieta,17,864.6,1,5.328542,7.887064,14,splacona
700,68,kobieta,13,1431,0,250,48,7,splacona_cz
684.58,73,kobieta,13,2534,1,130,48,0,splacona_cz
